event_id,lot_id,operation_id,tool_id,queue_start_ts,start_ts,end_ts,queue_hours,run_hours,status
EVT000001,L0001,L0001_OP001,T04,2025-06-01 08:00:00,2025-06-01 08:00:00,2025-06-01 09:28:00,0.0,1.4667,completed
EVT000002,L0002,L0002_OP001,T05,2025-06-01 10:00:00,2025-06-01 10:00:00,2025-06-01 11:12:00,0.0,1.2,completed
EVT000003,L0003,L0003_OP001,T09,2025-06-01 12:00:00,2025-06-01 12:00:00,2025-06-01 13:23:00,0.0,1.3833,completed
EVT000004,L0004,L0004_OP001,T07,2025-06-01 14:00:00,2025-06-01 14:00:00,2025-06-01 15:34:00,0.0,1.5667,completed
EVT000005,L0005,L0005_OP001,T03,2025-06-01 16:00:00,2025-06-01 16:00:00,2025-06-01 17:09:00,0.0,1.15,completed
EVT000006,L0006,L0006_OP001,T01,2025-06-01 18:00:00,2025-06-01 18:00:00,2025-06-01 19:39:00,0.0,1.65,completed
EVT000007,L0007,L0007_OP001,T07,2025-06-01 20:00:00,2025-06-01 20:00:00,2025-06-01 20:50:00,0.0,0.8333,completed
EVT000008,L0008,L0008_OP001,T04,2025-06-01 22:00:00,2025-06-01 22:00:00,2025-06-01 23:38:00,0.0,1.6333,completed
EVT000009,L0009,L0009_OP001,T00,2025-06-02 00:00:00,2025-06-02 00:00:00,2025-06-02 01:34:00,0.0,1.5667,completed
EVT000010,L0010,L0010_OP001,T03,2025-06-02 02:00:00,2025-06-02 02:00:00,2025-06-02 02:50:00,0.0,0.8333,completed
EVT000011,L0011,L0011_OP001,T07,2025-06-01 08:00:00,2025-06-01 20:50:00,2025-06-01 21:52:00,12.8333,1.0333,completed
EVT000012,L0012,L0012_OP001,T05,2025-06-01 10:00:00,2025-06-01 11:12:00,2025-06-01 11:59:00,1.2,0.7833,completed
EVT000013,L0013,L0013_OP001,T01,2025-06-01 12:00:00,2025-06-01 19:39:00,2025-06-01 20:24:00,7.65,0.75,completed
EVT000014,L0014,L0014_OP001,T04,2025-06-01 14:00:00,2025-06-01 23:38:00,2025-06-02 01:03:00,9.6333,1.4167,completed
EVT000015,L0015,L0015_OP001,T08,2025-06-01 16:00:00,2025-06-01 16:00:00,2025-06-01 17:00:00,0.0,1.0,completed
EVT000016,L0016,L0016_OP001,T03,2025-06-01 18:00:00,2025-06-02 02:50:00,2025-06-02 04:17:00,8.8333,1.45,completed
EVT000017,L0017,L0017_OP001,T05,2025-06-01 20:00:00,2025-06-01 20:00:00,2025-06-01 21:21:00,0.0,1.35,completed
EVT000018,L0018,L0018_OP001,T04,2025-06-01 22:00:00,2025-06-02 01:03:00,2025-06-02 01:23:00,3.05,0.3333,completed
EVT000019,L0019,L0019_OP001,T09,2025-06-02 00:00:00,2025-06-02 00:00:00,2025-06-02 01:08:00,0.0,1.1333,completed
EVT000020,L0020,L0020_OP001,T00,2025-06-02 02:00:00,2025-06-02 02:00:00,2025-06-02 02:30:00,0.0,0.5,completed
EVT000021,L0021,L0021_OP001,T02,2025-06-01 08:00:00,2025-06-01 08:00:00,2025-06-01 08:24:00,0.0,0.4,completed
EVT000022,L0022,L0022_OP001,T06,2025-06-01 10:00:00,2025-06-01 10:00:00,2025-06-01 10:30:00,0.0,0.5,completed
EVT000023,L0023,L0023_OP001,T06,2025-06-01 12:00:00,2025-06-01 12:00:00,2025-06-01 12:35:00,0.0,0.5833,completed
EVT000024,L0024,L0024_OP001,T09,2025-06-01 14:00:00,2025-06-02 01:08:00,2025-06-02 01:28:00,11.1333,0.3333,completed
EVT000025,L0025,L0025_OP001,T11,2025-06-01 16:00:00,2025-06-01 16:00:00,2025-06-01 16:23:00,0.0,0.3833,completed
EVT000026,L0026,L0026_OP001,T08,2025-06-01 18:00:00,2025-06-01 18:00:00,2025-06-01 18:24:00,0.0,0.4,completed
EVT000027,L0027,L0027_OP001,T13,2025-06-01 20:00:00,2025-06-01 20:00:00,2025-06-01 20:27:00,0.0,0.45,completed
EVT000028,L0028,L0028_OP001,T05,2025-06-01 22:00:00,2025-06-01 22:00:00,2025-06-01 22:27:00,0.0,0.45,completed
EVT000029,L0029,L0029_OP001,T13,2025-06-02 00:00:00,2025-06-02 00:00:00,2025-06-02 00:32:00,0.0,0.5333,completed
