scenario_id,rule_name,event_id,lot_id,operation_id,operation_seq,tool_id,queue_start_time,start_time,end_time,queue_time,run_time
baseline,FIFO,EVT000001,L0001,L0001_OP001,1,T04,0.0,0.0,1.4667,0.0,1.4667
baseline,FIFO,EVT000002,L0002,L0002_OP001,1,T05,2.0,2.0,3.2,0.0,1.2
baseline,FIFO,EVT000003,L0042,L0042_OP001,1,T09,2.0,2.0,2.1833,0.0,0.1833
baseline,FIFO,EVT000004,L0011,L0011_OP001,1,T07,0.0,0.0,1.0333,0.0,1.0333
baseline,FIFO,EVT000005,L0043,L0043_OP001,1,T03,4.0,4.0,4.4167,0.0,0.4167
baseline,FIFO,EVT000006,L0062,L0062_OP001,1,T01,2.0,2.0,2.5833,0.0,0.5833
baseline,FIFO,EVT000007,L0041,L0041_OP001,1,T00,0.0,0.0,0.3167,0.0,0.3167
baseline,FIFO,EVT000008,L0015,L0015_OP001,1,T08,8.0,8.0,9.0,0.0,1.0
baseline,FIFO,EVT000009,L0021,L0021_OP001,1,T02,0.0,0.0,0.4,0.0,0.4
baseline,FIFO,EVT000010,L0061,L0061_OP001,1,T06,0.0,0.0,0.2333,0.0,0.2333
baseline,FIFO,EVT000011,L0025,L0025_OP001,1,T11,8.0,8.0,8.3833,0.0,0.3833
baseline,FIFO,EVT000012,L0027,L0027_OP001,1,T13,12.0,12.0,12.45,0.0,0.45
baseline,FIFO,EVT000013,L0045,L0045_OP001,1,T12,8.0,8.0,8.5333,0.0,0.5333
baseline,FIFO,EVT000014,L0046,L0046_OP001,1,T10,10.0,10.0,10.3833,0.0,0.3833
baseline,FIFO,EVT000015,L0044,L0044_OP001,1,T14,6.0,6.0,6.3667,0.0,0.3667
baseline,FIFO,EVT000016,L0022,L0022_OP001,1,T06,2.0,2.0,2.5,0.0,0.5
baseline,FIFO,EVT000017,L0063,L0063_OP001,1,T00,4.0,4.0,4.5,0.0,0.5
baseline,FIFO,EVT000018,L0065,L0065_OP001,1,T02,8.0,8.0,8.5833,0.0,0.5833
baseline,FIFO,EVT000019,L0004,L0004_OP001,1,T07,6.0,6.0,7.5667,0.0,1.5667
baseline,FIFO,EVT000020,L0014,L0014_OP001,1,T04,6.0,6.0,7.4167,0.0,1.4167
baseline,FIFO,EVT000021,L0041,L0041_OP002,2,T09,0.3167,2.1833,2.7333,1.8666,0.55
baseline,FIFO,EVT000022,L0013,L0013_OP001,1,T01,4.0,4.0,4.75,0.0,0.75
baseline,FIFO,EVT000023,L0061,L0061_OP002,2,T05,0.2333,3.2,3.55,2.9667,0.35
baseline,FIFO,EVT000024,L0021,L0021_OP002,2,T03,0.4,4.4167,4.6167,4.0167,0.2
baseline,FIFO,EVT000025,L0045,L0045_OP002,2,T14,8.5333,8.5333,8.7833,0.0,0.25
baseline,FIFO,EVT000026,L0048,L0048_OP001,1,T11,14.0,14.0,14.1833,0.0,0.1833
baseline,FIFO,EVT000027,L0046,L0046_OP002,2,T12,10.3833,10.3833,11.0166,0.0,0.6333
baseline,FIFO,EVT000028,L0011,L0011_OP002,2,T08,1.0333,9.0,9.4,7.9667,0.4
baseline,FIFO,EVT000029,L0042,L0042_OP002,2,T10,2.1833,10.3833,10.75,8.2,0.3667
baseline,FIFO,EVT000030,L0025,L0025_OP002,2,T13,8.3833,12.45,12.7833,4.0667,0.3333
baseline,FIFO,EVT000031,L0023,L0023_OP001,1,T06,4.0,4.0,4.5833,0.0,0.5833
baseline,FIFO,EVT000032,L0003,L0003_OP001,1,T09,4.0,4.0,5.3833,0.0,1.3833
baseline,FIFO,EVT000033,L0012,L0012_OP001,1,T05,2.0,3.55,4.3333,1.55,0.7833
baseline,FIFO,EVT000034,L0009,L0009_OP001,1,T00,16.0,16.0,17.5667,0.0,1.5667
baseline,FIFO,EVT000035,L0022,L0022_OP002,2,T03,2.5,4.6167,4.8667,2.1167,0.25
baseline,FIFO,EVT000036,L0045,L0045_OP003,3,T01,8.7833,8.7833,9.3666,0.0,0.5833
baseline,FIFO,EVT000037,L0063,L0063_OP002,2,T04,4.5,7.4167,8.0,2.9167,0.5833
baseline,FIFO,EVT000038,L0013,L0013_OP002,2,T07,4.75,7.5667,8.3334,2.8167,0.7667
baseline,FIFO,EVT000039,L0041,L0041_OP003,3,T02,2.7333,8.5833,9.1166,5.85,0.5333
baseline,FIFO,EVT000040,L0042,L0042_OP003,3,T14,10.75,10.75,11.0667,0.0,0.3167
baseline,FIFO,EVT000041,L0001,L0001_OP002,2,T08,1.4667,9.4,10.5333,7.9333,1.1333
baseline,FIFO,EVT000042,L0031,L0031_OP001,1,T10,20.0,20.0,20.4667,0.0,0.4667
baseline,FIFO,EVT000043,L0030,L0030_OP001,1,T12,18.0,18.0,18.5833,0.0,0.5833
baseline,FIFO,EVT000044,L0067,L0067_OP001,1,T13,12.0,12.7833,13.2,0.7833,0.4167
baseline,FIFO,EVT000045,L0051,L0051_OP001,1,T11,20.0,20.0,20.3167,0.0,0.3167
baseline,FIFO,EVT000046,L0062,L0062_OP002,2,T05,2.5833,4.3333,4.85,1.75,0.5167
baseline,FIFO,EVT000047,L0013,L0013_OP003,3,T06,8.3334,8.3334,8.7001,0.0,0.3667
baseline,FIFO,EVT000048,L0002,L0002_OP002,2,T03,3.2,4.8667,5.7,1.6667,0.8333
